Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
00048500                  ,1428614882,1007 Colley Av,1007 ,1000,Colley Av,Colley Av,Norfolk                         ,VA  ,23507-1616,23507,150190,Apartment,2527,NULL,60600,347000,100500,299700,100500,299700,#REF!,#REF!
00048505                  ,1428717260,517 Graydon Av,517 ,500,Graydon Av,Graydon Av,Norfolk                         ,VA  ,23507-1731,23507,150390,Apartment,9583,NULL,287500,592000,287500,580100,287500,580100,Oct  2 1978,0
00048510                  ,1428613502,800 Redgate Av,800 ,800,Redgate Av,Redgate Av,Norfolk                         ,VA  ,23507-1535,23507,150190,Apartment,12643,NULL,316100,1709400,316100,1652700,316100,1652700,Oct  2 1978,165000
00062300                  ,1427790727,594 Mowbray Arch,594 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2100,23507,150650,Single Family - Detached,3800,2418,132800,276800,132800,308700,132800,308700,Aug 18 2015,425000
00081200                  ,1428711139,623 Westover Av,623 ,600,Westover Av,Westover Av,Norfolk                         ,VA  ,23507-1718,23507,150300,Single Family - Detached,2879,2217,105400,209100,105400,209100,105400,209100,Apr  3 1998,0
00178072                  ,1427693725,610 Pembroke Av,610 ,600,Pembroke Av,Pembroke Av,Norfolk                         ,VA  ,23507-2012,23507,150600,Single Family - Detached,6250,4991,182500,389400,182500,371700,182500,371700,Nov  6 2000,350000
00178074                  ,1427693773,608 Pembroke Av,608 ,600,Pembroke Av,Pembroke Av,Norfolk                         ,VA  ,23507,23507,150600,Vacant Land,4300,NULL,120500,0,120500,0,120500,0,Nov  6 2000,0
00208500                  ,1427688688,520 Mowbray Arch,520 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2112,23507,150650,Single Family - Detached,0,3121,193200,406100,193200,450600,193200,450600,Feb 11 2011,0
00208600                  ,1427780713,511 Warren Cres,511 ,500,Warren Cres,Warren Cres,Norfolk                         ,VA  ,23507-2117,23507,150600,Residential Outbuilding,0,NULL,60000,13100,60000,13100,60000,13100,Oct 15 2002,795000
00208700                  ,1427689777,513 Warren Cres,513 ,500,Warren Cres,Warren Cres,Norfolk                         ,VA  ,23507-2117,23507,150600,Single Family - Detached,0,6691,237000,588400,237000,559000,237000,559000,Oct 15 2002,795000
00223400                  ,1428626344,800 W Princess Anne Rd B2,800 ,800,W Princess Anne Rd B2,W Princess ,Norfolk                         ,VA  ,23517-1844,23517,150180,Condominium,0,1183,15400,96700,15400,96700,15400,96700,Nov  8 2014,0
00265900                  ,1428606946,700 Raleigh Av,700 ,700,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1635,23507,150300,Single Family - Attached,0,2582,102100,231500,102100,231500,102100,231500,Jun 30 2000,155000
00309700                  ,1438030691,2202 Llewellyn Av,2202 ,2200,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2239,23517,150590,Commercial,36964,NULL,465100,596900,465100,596900,465100,596900,Jan  3 2013,1010000
00315000                  ,1428704720,812 Stockley Gdns 1,812 ,800,Stockley Gdns 1,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Nov  1 2002,100000
00315002                  ,1428704720,812 Stockley Gdns 2,812 ,800,Stockley Gdns 2,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,May 31 2001,140000
00315004                  ,1428704720,812 Stockley Gdns 3,812 ,800,Stockley Gdns 3,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Jul 18 2016,225000
00315006                  ,1428704720,812 Stockley Gdns 4,812 ,800,Stockley Gdns 4,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Dec 14 2015,277000
00315008                  ,1428704720,812 Stockley Gdns 5,812 ,800,Stockley Gdns 5,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Aug 23 2011,229900
00315010                  ,1428704720,812 Stockley Gdns 6,812 ,800,Stockley Gdns 6,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Jul 18 2013,235000
00315012                  ,1428704720,812 Stockley Gdns 7,812 ,800,Stockley Gdns 7,Stockley Gdns ,Norfolk                         ,VA  ,23507-2070,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Apr 13 2005,0
00315014                  ,1428704720,812 Stockley Gdns 8,812 ,800,Stockley Gdns 8,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Apr 28 2000,135000
00315016                  ,1428704720,812 Stockley Gdns 9,812 ,800,Stockley Gdns 9,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Oct  5 1993,89000
00315018                  ,1428704720,812 Stockley Gdns 10,812 ,800,Stockley Gdns 10,Stockley Gdns ,Norfolk                         ,VA  ,23507-2070,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Jul 15 2003,190000
00315020                  ,1428704720,812 Stockley Gdns 11,812 ,800,Stockley Gdns 11,Stockley Gdns ,Norfolk                         ,VA  ,23507-2059,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Aug  7 2015,0
00445300                  ,1428703907,608 Redgate Av,608 ,600,Redgate Av,Redgate Av,Norfolk                         ,VA  ,23507-1702,23507,150300,Single Family - Detached,6600,3818,220200,286000,220200,286000,220200,286000,Jun 24 2004,385000
00621650                  ,1428732846,809 Harrington Av,809 ,800,Harrington Av,Harrington Av,Norfolk                         ,VA  ,23517-1509,23517,150390,Apartment,10647,NULL,319400,228400,319400,215100,319400,215100,May  6 2004,0
00723000                  ,1428647007,913 Harrington Av,913 ,900,Harrington Av,Harrington Av,Norfolk                         ,VA  ,23517-1511,23517,150300,Single Family - Detached,3750,1584,121000,111600,121000,111600,121000,111600,Jul  9 2011,275000
00829545                  ,1427891190,324 Fairfax Av,324 ,300,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2216,23507,150600,Single Family - Detached,0,2778,90500,340900,90500,323900,90500,323900,Jan 22 2000,237000
00896500                  ,1428619249,701 Westover Av,701 ,700,Westover Av,Westover Av,Norfolk                         ,VA  ,23507-1622,23507,150300,Single Family - Detached,4318,3835,157900,378200,157900,378200,157900,378200,Jun 20 2011,562500
00932900                  ,1428638213,821 Spotswood Av,821 ,800,Spotswood Av,Spotswood Av,Norfolk                         ,VA  ,23517-1721,23517,150300,Single Family - Detached,5000,1707,165800,143000,165800,143000,165800,143000,Mar 18 2009,306000
00979701                  ,1428636188,830 Shirley Av,830 ,800,Shirley Av,Shirley Av,Norfolk                         ,VA  ,23517-1718,23517,150300,Single Family - Detached,2500,1319,82700,162400,82700,162400,82700,162400,Aug 29 2011,280000
00979715                  ,1428637107,828 Shirley Av,828 ,800,Shirley Av,Shirley Av,Norfolk                         ,VA  ,23517,23517,150300,Vacant Land,2000,NULL,65900,0,65900,0,65900,0,Aug 29 2011,280000
01032900                  ,1428606946,700 Raleigh Av,700 ,700,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1635,23507,150300,Single Family - Attached,0,2808,102100,254600,102100,254600,102100,254600,Aug  3 1998,176500
01057100                  ,1428639632,824 Brandon Av,824 ,800,Brandon Av,Brandon Av,Norfolk                         ,VA  ,23517-1606,23517,150390,Apartment,6105,NULL,183100,599600,183100,594300,183100,594300,Nov  3 2011,0
01109500                  ,1428823883,511 Washington Park,511 ,500,Washington Park,Washington Park,Norfolk                         ,VA  ,23517-1913,23517,150300,Duplex,7966,2043,253000,141800,253000,141800,253000,141800,May 29 2014,360000
01113500                  ,1428729405,619 Shirley Av,619 ,600,Shirley Av,Shirley Av,Norfolk                         ,VA  ,23517-2023,23517,150300,Single Family - Detached,5250,2155,203300,148000,203300,148000,203300,148000,Jul 30 2012,275000
01123500                  ,1427786769,401 Warren Cres,401 ,400,Warren Cres,Warren Cres,Norfolk                         ,VA  ,23507-2222,23507,150600,Single Family - Detached,12300,4705,269500,472900,269500,449900,269500,449900,Jun 17 2013,715000
01236700                  ,1427881940,323 Fairfax Av,323 ,300,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2215,23507,150690,Commercial,13002,5733,234000,472700,234000,472700,234000,472700,Aug 20 2001,900000
01292400                  ,1428820898,540 Spotswood Av,540 ,500,Spotswood Av,Spotswood Av,Norfolk                         ,VA  ,23517-2008,23517,150300,Duplex,6719,3047,256600,242900,256600,242900,256600,242900,May 27 1992,0
01303500                  ,1427983604,740 Boush St,740 ,700,Boush St,Boush St,Norfolk                         ,VA  ,23510-1502,23510,150990,Commercial,21676,NULL,818700,477300,818700,823200,818700,823200,May 12 1995,225000
01383500                  ,1428821827,536 Spotswood Av,536 ,500,Spotswood Av,Spotswood Av,Norfolk                         ,VA  ,23517-2008,23517,150300,Single Family - Detached,4000,1818,154400,158500,154400,158500,154400,158500,Apr 15 2013,0
01394800                  ,1427689652,512 Mowbray Arch,512 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2112,23507,150650,Single Family - Detached,7200,4638,253600,499400,362300,625500,362300,625500,Nov 12 2015,688000
01417400                  ,1428716192,518 Westover Av,518 ,500,Westover Av,Westover Av,Norfolk                         ,VA  ,23507-1717,23507,150300,Single Family - Detached,4688,2554,162600,201500,162600,201500,162600,201500,Sep  2 1983,65000
01554700                  ,1428728385,614 Baldwin Av,614 ,600,Baldwin Av,Baldwin Av,Norfolk                         ,VA  ,23517-1812,23517,150300,Single Family - Detached,5250,3203,203300,203200,203300,203200,203300,203200,Jun 12 2007,430000
01655950                  ,1428728520,625 Shirley Av,625 ,600,Shirley Av,Shirley Av,Norfolk                         ,VA  ,23517-2023,23517,150300,Single Family - Detached,3938,2550,152500,282700,152500,282700,152500,282700,Dec 24 2013,350000
01730500                  ,1428608115,600 W Olney Rd 202,600 ,600,W Olney Rd 202,W Olney ,Norfolk                         ,VA  ,23507-2032,23507,150680,Condominium,0,1426,29900,186500,29900,186500,29900,186500,Oct  3 2013,222500
01736230                  ,1428700526,715 Stockley Gdns,715 ,700,Stockley Gdns,Stockley Gdns,Norfolk                         ,VA  ,23507-2025,23507,150300,Fourplex,3125,3478,108000,252700,108000,252700,108000,252700,Aug 23 2013,0
01754650                  ,1428801132,801 Botetourt Gdns,801 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1814,23507,150300,Single Family - Attached,2000,2287,99600,247300,99600,247300,99600,247300,Jan  3 2007,375000
01881000                  ,1427799022,341 Fairfax Av,341 ,300,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2215,23507,150600,Single Family - Detached,0,2568,90500,345600,90500,329200,90500,329200,Aug 14 2000,271000
01881005                  ,1427798093,343 Fairfax Av,343 ,300,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2215,23507,150600,Single Family - Detached,0,2696,90500,328800,90500,313200,90500,313200,Nov 20 2006,475000
01881010                  ,1427798075,756 Botetourt St,756 ,700,Botetourt St,Botetourt St,Norfolk                         ,VA  ,23507-2262,23507,150600,Single Family - Detached,3600,2520,103000,337300,103000,321200,103000,321200,May  8 2015,450000
01898500                  ,1428726539,701 Shirley Av,701 ,700,Shirley Av,Shirley Av,Norfolk                         ,VA  ,23517-2005,23517,150300,Single Family - Detached,6573,2640,254500,268400,254500,268400,254500,268400,Jun  3 2008,555000
01899700                  ,1428807239,842 Botetourt Gdns,842 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2790,85400,366600,85400,365800,85400,365800,Aug 26 2015,500000
01899705                  ,1428807216,840 Botetourt Gdns,840 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2593,67500,345600,67500,345600,67500,345600,Dec 14 2012,515000
01899710                  ,1428807204,838 Botetourt Gdns,838 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2593,67000,344000,67000,344000,67000,344000,May 12 2011,473660
01899715                  ,1428806282,836 Botetourt Gdns,836 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2535,67000,327300,67000,327300,67000,327300,Jun 28 2005,545000
01899720                  ,1428806179,834 Botetourt Gdns,834 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,3100,73300,379600,73300,379600,73300,379600,Oct 25 2011,0
01899725                  ,1428806231,832 Botetourt Gdns,832 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,3100,67000,419700,67000,419700,67000,419700,May 31 2012,539000
01899730                  ,1428806203,830 Botetourt Gdns,830 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2593,63800,332200,63800,332200,63800,332200,Aug 25 2000,249000
01899735                  ,1428805284,828 Botetourt Gdns,828 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2593,70600,332200,70600,332200,70600,332200,Sep 29 1995,197500
01899740                  ,1428805266,826 Botetourt Gdns,826 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2535,70600,329700,70600,329700,70600,329700,Dec 19 2014,385000
01899745                  ,1428805226,824 Botetourt Gdns,824 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Attached,0,2790,111200,352900,111200,352900,111200,352900,Oct 29 2002,359900
01932750                  ,1427892066,318 Fairfax Av,318 ,300,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2216,23507,150600,Single Family - Detached,0,2772,90500,323000,90500,306900,90500,306900,Jul 14 2003,400000
01933516                  ,1428642042,940 Gates Av 1a,940 ,900,Gates Av 1a,Gates Av ,Norfolk                         ,VA  ,23517-1642,23517,150380,Condominium,283,972,26200,113100,26200,129300,26200,129300,Sep 25 2006,200000
01933518                  ,1428642042,940 Gates Av 2a,940 ,900,Gates Av 2a,Gates Av ,Norfolk                         ,VA  ,23517-1672,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Dec 11 2012,0
01933519                  ,1428642042,940 Gates Av 3a,940 ,900,Gates Av 3a,Gates Av ,Norfolk                         ,VA  ,23517-1642,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jan 28 2010,180000
01933522                  ,1428642042,940 Gates Av 4a,940 ,900,Gates Av 4a,Gates Av ,Norfolk                         ,VA  ,23517-1642,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Oct 16 2014,136000
01933524                  ,1428642042,940 Gates Av 5a,940 ,900,Gates Av 5a,Gates Av ,Norfolk                         ,VA  ,23517-1672,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jul  2 2012,0
01933526                  ,1428642042,940 Gates Av 6a,940 ,900,Gates Av 6a,Gates Av ,Norfolk                         ,VA  ,23517-1642,23517,150380,Condominium,0,972,26200,113100,26200,129300,26200,129300,Jun 29 2009,185000
01933528                  ,1428642042,940 Gates Av 1b,940 ,900,Gates Av 1b,Gates Av ,Norfolk                         ,VA  ,23517-1672,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Aug 27 2003,58000
01933530                  ,1428642042,940 Gates Av 2b,940 ,900,Gates Av 2b,Gates Av ,Norfolk                         ,VA  ,23517-1672,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Mar  9 2016,128000
01933532                  ,1428642042,940 Gates Av 3b,940 ,900,Gates Av 3b,Gates Av ,Norfolk                         ,VA  ,23517-1672,23517,150380,Condominium,0,663,17900,84400,17900,95700,17900,95700,Aug 16 2006,0
