Key,Block Number,Road Name,Property City,Property State,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
1,1000,Colley Av,Norfolk                         ,VA  ,23507,150190,Apartment,2527,NULL,60600,347000,100500,299700,100500,299700,#REF!,#REF!
2,500,Graydon Av,Norfolk                         ,VA  ,23507,150390,Apartment,9583,NULL,287500,592000,287500,580100,287500,580100,Oct  2 1978,0
3,800,Redgate Av,Norfolk                         ,VA  ,23507,150190,Apartment,12643,NULL,316100,1709400,316100,1652700,316100,1652700,Oct  2 1978,165000
4,500,Mowbray Arch,Norfolk                         ,VA  ,23507,150650,Single Family - Detached,3800,2418,132800,276800,132800,308700,132800,308700,Aug 18 2015,425000
5,600,Westover Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,2879,2217,105400,209100,105400,209100,105400,209100,Apr  3 1998,0
6,600,Pembroke Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,6250,4991,182500,389400,182500,371700,182500,371700,Nov  6 2000,350000
7,600,Pembroke Av,Norfolk                         ,VA  ,23507,150600,Vacant Land,4300,NULL,120500,0,120500,0,120500,0,Nov  6 2000,0
9,500,Warren Cres,Norfolk                         ,VA  ,23507,150600,Residential Outbuilding,0,NULL,60000,13100,60000,13100,60000,13100,Oct 15 2002,795000
10,500,Warren Cres,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,6691,237000,588400,237000,559000,237000,559000,Oct 15 2002,795000
11,800,W Princess ,Norfolk                         ,VA  ,23517,150180,Condominium,0,1183,15400,96700,15400,96700,15400,96700,Nov  8 2014,0
12,700,Raleigh Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,0,2582,102100,231500,102100,231500,102100,231500,Jun 30 2000,155000
13,2200,Llewellyn Av,Norfolk                         ,VA  ,23517,150590,Commercial,36964,NULL,465100,596900,465100,596900,465100,596900,Jan  3 2013,1010000
14,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Nov  1 2002,100000
15,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,May 31 2001,140000
17,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Dec 14 2015,277000
18,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Aug 23 2011,229900
19,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Jul 18 2013,235000
20,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Apr 13 2005,0
21,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Apr 28 2000,135000
22,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1412,32500,183100,32500,172200,32500,172200,Oct  5 1993,89000
23,800,Stockley Gdns ,Norfolk                         ,VA  ,23507,150380,Condominium,0,1592,36600,214000,36600,201200,36600,201200,Jul 15 2003,190000
25,600,Redgate Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,6600,3818,220200,286000,220200,286000,220200,286000,Jun 24 2004,385000
26,800,Harrington Av,Norfolk                         ,VA  ,23517,150390,Apartment,10647,NULL,319400,228400,319400,215100,319400,215100,May  6 2004,0
27,900,Harrington Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,3750,1584,121000,111600,121000,111600,121000,111600,Jul  9 2011,275000
28,300,Fairfax Av,Norfolk                         ,VA  ,23507,150600,Single Family - Detached,0,2778,90500,340900,90500,323900,90500,323900,Jan 22 2000,237000
29,700,Westover Av,Norfolk                         ,VA  ,23507,150300,Single Family - Detached,4318,3835,157900,378200,157900,378200,157900,378200,Jun 20 2011,562500
30,800,Spotswood Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5000,1707,165800,143000,165800,143000,165800,143000,Mar 18 2009,306000
31,800,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,2500,1319,82700,162400,82700,162400,82700,162400,Aug 29 2011,280000
33,700,Raleigh Av,Norfolk                         ,VA  ,23507,150300,Single Family - Attached,0,2808,102100,254600,102100,254600,102100,254600,Aug  3 1998,176500
34,800,Brandon Av,Norfolk                         ,VA  ,23517,150390,Apartment,6105,NULL,183100,599600,183100,594300,183100,594300,Nov  3 2011,0
35,500,Washington Park,Norfolk                         ,VA  ,23517,150300,Duplex,7966,2043,253000,141800,253000,141800,253000,141800,May 29 2014,360000
36,600,Shirley Av,Norfolk                         ,VA  ,23517,150300,Single Family - Detached,5250,2155,203300,148000,203300,148000,203300,148000,Jul 30 2012,275000
